station_id,station_name,map_image_path,satellite_image_path,mobility_score,observed_subway_score,hidden_gap_score,temporal_score,visual_morphology_score,mobility_minus_subway_gap,hidden_demand_reconstruction_score_norm,station_type,hidden_demand_score,hidden_demand_label,confidence,primary_evidence,uses_visual_reasoning,uses_mobility_subway_reasoning,uses_temporal_reasoning,explanation,risk_note,_raw_output,_condition,_model,_station_id,_station_name,_error
2824,단대오거리,images/station_tiles/satellite/2824_단대오거리.png,images/station_tiles/satellite/2824_단대오거리.png,0.7309191035312452,0.5860179706333553,0.9550663589599737,0.65646565240817,0.6346153846153846,0.6170014051339521,0.5860179706333553,diverse_living_area_hidden,2.0,low,3.0,visual,True,False,False,"The image shows a compact but topographically constrained urban area with dense low-rise housing and some industrial/commercial parcels, yet it is surrounded by extensive hills and forest that limit catchment size and through-movement. The morphology suggests some local activity and likely bus/walking dependence, but the visual pattern alone does not strongly indicate a large unmet transit market or a clear mismatch with subway use. Overall, hidden transit demand appears limited to modest local pockets rather than broadly high.","Because this is image-only, the estimate may understate demand from residents and workers that cannot be inferred from satellite morphology alone.","{""station_name"":""단대오거리"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":3,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a compact but topographically constrained urban area with dense low-rise housing and some industrial/commercial parcels, yet it is surrounded by extensive hills and forest that limit catchment size and through-movement. The morphology suggests some local activity and likely bus/walking dependence, but the visual pattern alone does not strongly indicate a large unmet transit market or a clear mismatch with subway use. Overall, hidden transit demand appears limited to modest local pockets rather than broadly high."",""risk_note"":""Because this is image-only, the estimate may understate demand from residents and workers that cannot be inferred from satellite morphology alone.""}",image_only,gpt-5.4-mini,2824,단대오거리,
2519,까치산,images/station_tiles/satellite/2519_까치산.png,images/station_tiles/satellite/2519_까치산.png,1.0,0.5191759807144423,1.0,0.9032435671534366,0.5384615384615384,0.6781251119007279,0.5191759807144423,diverse_living_area_hidden,2.0,low,2.0,visual,True,False,False,"The image shows a very dense low-rise residential fabric with a fine street network and some larger roads, which suggests substantial local activity and walk-up demand. However, from the image alone there is no direct evidence of a mismatch between neighborhood mobility and observed subway use, and the area already appears plausibly served by an urban transit catchment. Because hidden demand depends mainly on under-observed subway usage, the available visual evidence is not enough to justify a strong hidden-demand claim.","This is an image-only inference, so the result may be biased by morphology and cannot confirm whether subway usage is actually low relative to demand.","{""station_name"":""까치산"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":2,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a very dense low-rise residential fabric with a fine street network and some larger roads, which suggests substantial local activity and walk-up demand. However, from the image alone there is no direct evidence of a mismatch between neighborhood mobility and observed subway use, and the area already appears plausibly served by an urban transit catchment. Because hidden demand depends mainly on under-observed subway usage, the available visual evidence is not enough to justify a strong hidden-demand claim."",""risk_note"":""This is an image-only inference, so the result may be biased by morphology and cannot confirm whether subway usage is actually low relative to demand.""}",image_only,gpt-5.4-mini,2519,까치산,
2561,마천,images/station_tiles/satellite/2561_마천.png,images/station_tiles/satellite/2561_마천.png,0.6864666466682824,0.5283804514573746,0.9379351142585681,0.2378030044256104,1.0,0.6130045307725955,0.5283804514573746,diverse_living_area_hidden,2.0,low,2.0,visual,True,False,False,"The image shows a mountainous, low-rise edge area with scattered dense apartment clusters and small residential pockets, but most of the scene is forested slope with limited street-grid intensity. That pattern suggests some local residential activity, yet the visible built-up area does not clearly indicate a large unmet transit market or strong hidden demand relative to a subway station. With only imagery and no usage data, the case for substantial hidden public-transit demand is weak.","This assessment is based only on land-use morphology, so it may miss commuter flows, bus dependence, or station accessibility constraints not visible in the image.","{""station_name"":""마천"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":2,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a mountainous, low-rise edge area with scattered dense apartment clusters and small residential pockets, but most of the scene is forested slope with limited street-grid intensity. That pattern suggests some local residential activity, yet the visible built-up area does not clearly indicate a large unmet transit market or strong hidden demand relative to a subway station. With only imagery and no usage data, the case for substantial hidden public-transit demand is weak."",""risk_note"":""This assessment is based only on land-use morphology, so it may miss commuter flows, bus dependence, or station accessibility constraints not visible in the image.""}",image_only,gpt-5.4-mini,2561,마천,
249,신정네거리,images/station_tiles/satellite/249_신정네거리.png,images/station_tiles/satellite/249_신정네거리.png,0.6475210272049827,0.021696252465483234,0.8546130951290728,0.856763475944789,0.5384615384615384,0.5425260948670856,0.021696252465483234,diverse_living_area_hidden,2.0,low,2.0,visual,True,False,False,"The image shows a dense residential fabric with many apartment blocks and local roads, suggesting substantial neighborhood activity, but it also appears to be a typical served urban area rather than an obviously underserved one. Because only imagery is available, there is no direct evidence of a mismatch between mobility demand and subway usage, so hidden transit demand cannot be strongly inferred. The morphology may indicate steady local movement needs, but not enough to justify more than a low score.","This judgment is limited by the absence of ridership, land-use function, and temporal activity data, so visual density may overstate actual transit demand.","{""station_name"":""신정네거리"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":2,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a dense residential fabric with many apartment blocks and local roads, suggesting substantial neighborhood activity, but it also appears to be a typical served urban area rather than an obviously underserved one. Because only imagery is available, there is no direct evidence of a mismatch between mobility demand and subway usage, so hidden transit demand cannot be strongly inferred. The morphology may indicate steady local movement needs, but not enough to justify more than a low score."",""risk_note"":""This judgment is limited by the absence of ridership, land-use function, and temporal activity data, so visual density may overstate actual transit demand.""}",image_only,gpt-5.4-mini,249,신정네거리,
2716,중계,images/station_tiles/satellite/2716_중계.png,images/station_tiles/satellite/2716_중계.png,0.6584275740169632,0.5623493315801008,0.8147955535114167,0.8582414089133855,0.2980769230769231,0.4975985742990838,0.5623493315801008,diverse_living_area_hidden,2.0,low,2.0,visual,True,False,False,"The image shows a dense apartment-dominated residential district with many mid- to high-rise housing blocks and a compact street pattern, which suggests local daily movement demand. However, there is no visible evidence here of a major transit gap, strong trip generators, or a clear mismatch between neighborhood activity and subway provision, so hidden public-transit demand cannot be inferred strongly from the image alone.","This is based only on morphology in a single satellite view, so it may miss actual ridership patterns, bus connectivity, or station access constraints.","{
  ""station_name"": ""중계"",
  ""hidden_demand_score"": 2,
  ""hidden_demand_label"": ""low"",
  ""confidence"": 2,
  ""primary_evidence"": ""visual"",
  ""uses_visual_reasoning"": true,
  ""uses_mobility_subway_reasoning"": false,
  ""uses_temporal_reasoning"": false,
  ""explanation"": ""The image shows a dense apartment-dominated residential district with many mid- to high-rise housing blocks and a compact street pattern, which suggests local daily movement demand. However, there is no visible evidence here of a major transit gap, strong trip generators, or a clear mismatch between neighborhood activity and subway provision, so hidden public-transit demand cannot be inferred strongly from the image alone."",
  ""risk_note"": ""This is based only on morphology in a single satellite view, so it may miss actual ridership patterns, bus connectivity, or station access constraints.""
}",image_only,gpt-5.4-mini,2716,중계,
4107,가양,images/station_tiles/satellite/4107_가양.png,images/station_tiles/satellite/4107_가양.png,0.5739929882339125,0.8671926364234056,0.7437305744536337,0.6397829916271444,0.375,0.4526489811880185,0.8671926364234056,directional_mismatch,2.0,low,4.0,mobility_subway,False,True,True,"The station shows a moderate mobility-minus-subway gap and a relatively high hidden gap score, but observed subway activity is also high, which weakens the case for truly hidden demand. Mobility demand is only moderate, so the mismatch suggests some under-captured demand or directional imbalance rather than strong latent transit need. Temporal activity is also moderate, supporting activity in the area, but not enough to override the strong observed subway usage.","This estimate may be biased by relying on station-level aggregates, and the directional_mismatch type may reflect pattern structure rather than genuine unmet transit demand.","{
  ""station_name"": ""가양"",
  ""hidden_demand_score"": 2,
  ""hidden_demand_label"": ""low"",
  ""confidence"": 4,
  ""primary_evidence"": ""mobility_subway"",
  ""uses_visual_reasoning"": false,
  ""uses_mobility_subway_reasoning"": true,
  ""uses_temporal_reasoning"": true,
  ""explanation"": ""The station shows a moderate mobility-minus-subway gap and a relatively high hidden gap score, but observed subway activity is also high, which weakens the case for truly hidden demand. Mobility demand is only moderate, so the mismatch suggests some under-captured demand or directional imbalance rather than strong latent transit need. Temporal activity is also moderate, supporting activity in the area, but not enough to override the strong observed subway usage."",
  ""risk_note"": ""This estimate may be biased by relying on station-level aggregates, and the directional_mismatch type may reflect pattern structure rather than genuine unmet transit demand.""
}",tabular_only,gpt-5.4-mini,4107,가양,
314,홍제,images/station_tiles/satellite/314_홍제.png,images/station_tiles/satellite/314_홍제.png,0.6450835753648976,0.03594126671049748,0.7614778427612868,0.7562587876760914,0.6730769230769231,0.4455647332370832,0.03594126671049748,diverse_living_area_hidden,2.0,low,3.0,visual,True,False,False,"The image shows a dense residential hillside area with many apartment clusters and narrow local roads, suggesting some neighborhood travel demand, but there is no clear visual sign of a major missing transit market such as a large commercial core, major employment center, or extreme access barrier around the station. The built form appears primarily residential and dispersed across steep terrain, which can generate local trips, yet from imagery alone it is not enough to infer strong hidden public-transit demand or a clear mismatch with subway use. Overall, the area looks active but not obviously underserved by rail relative to its morphology.","This assessment is based only on satellite morphology, so it cannot verify actual subway ridership or demand mismatch and may understate or overstate latent demand.","{""station_name"":""홍제"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":3,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a dense residential hillside area with many apartment clusters and narrow local roads, suggesting some neighborhood travel demand, but there is no clear visual sign of a major missing transit market such as a large commercial core, major employment center, or extreme access barrier around the station. The built form appears primarily residential and dispersed across steep terrain, which can generate local trips, yet from imagery alone it is not enough to infer strong hidden public-transit demand or a clear mismatch with subway use. Overall, the area looks active but not obviously underserved by rail relative to its morphology."",""risk_note"":""This assessment is based only on satellite morphology, so it cannot verify actual subway ridership or demand mismatch and may understate or overstate latent demand.""}",image_only,gpt-5.4-mini,314,홍제,
4107,가양,images/station_tiles/satellite/4107_가양.png,images/station_tiles/satellite/4107_가양.png,0.5739929882339125,0.8671926364234056,0.7437305744536337,0.6397829916271444,0.375,0.4526489811880185,0.8671926364234056,directional_mismatch,2.0,low,4.0,mobility_subway,False,True,True,"The evidence does not strongly support hidden public-transit demand because observed subway usage is already high (observed_subway_score 0.87), which reduces the likelihood of a large unmet demand gap. Mobility is moderate rather than clearly high, and although the hidden-gap metric is sizable, it appears more consistent with directional mismatch than with strong latent demand. Temporal conditions add some support for variability, but visual morphology is relatively weak and should not override the stronger subway-side evidence.","The hidden-gap signal may reflect directional or temporal effects rather than true unmet demand, so the inferred low score could understate localized demand pockets.","{
  ""station_name"": ""가양"",
  ""hidden_demand_score"": 2,
  ""hidden_demand_label"": ""low"",
  ""confidence"": 4,
  ""primary_evidence"": ""mobility_subway"",
  ""uses_visual_reasoning"": false,
  ""uses_mobility_subway_reasoning"": true,
  ""uses_temporal_reasoning"": true,
  ""explanation"": ""The evidence does not strongly support hidden public-transit demand because observed subway usage is already high (observed_subway_score 0.87), which reduces the likelihood of a large unmet demand gap. Mobility is moderate rather than clearly high, and although the hidden-gap metric is sizable, it appears more consistent with directional mismatch than with strong latent demand. Temporal conditions add some support for variability, but visual morphology is relatively weak and should not override the stronger subway-side evidence."",
  ""risk_note"": ""The hidden-gap signal may reflect directional or temporal effects rather than true unmet demand, so the inferred low score could understate localized demand pockets.""
}",structured_multimodal,gpt-5.4-mini,4107,가양,
2560,거여,images/station_tiles/satellite/2560_거여.png,images/station_tiles/satellite/2560_거여.png,0.5673544385665344,0.5281612973920666,0.7519905855471304,0.8416292658676787,0.34615384615384615,0.4661641865978613,0.5281612973920666,diverse_living_area_hidden,2.0,low,3.0,visual,True,False,False,"The image shows a largely residential district with many apartment complexes, dense low-rise housing, and internal roads, which suggests some local transit need. However, there is no clear visual sign of a strong mobility-demand mismatch such as major job centers, large commercial clusters, or heavy intermodal activity that would imply substantial hidden demand beyond the station’s apparent suburban residential role. Based on morphology alone, the area looks like a typical transit-served neighborhood rather than one with clearly suppressed subway usage.","Because this is image-only evidence, the assessment may miss daily flows, bus dependence, or commuter patterns that are not visible from satellite morphology.","{""station_name"":""거여"",""hidden_demand_score"":2,""hidden_demand_label"":""low"",""confidence"":3,""primary_evidence"":""visual"",""uses_visual_reasoning"":true,""uses_mobility_subway_reasoning"":false,""uses_temporal_reasoning"":false,""explanation"":""The image shows a largely residential district with many apartment complexes, dense low-rise housing, and internal roads, which suggests some local transit need. However, there is no clear visual sign of a strong mobility-demand mismatch such as major job centers, large commercial clusters, or heavy intermodal activity that would imply substantial hidden demand beyond the station’s apparent suburban residential role. Based on morphology alone, the area looks like a typical transit-served neighborhood rather than one with clearly suppressed subway usage."",""risk_note"":""Because this is image-only evidence, the assessment may miss daily flows, bus dependence, or commuter patterns that are not visible from satellite morphology.""}",image_only,gpt-5.4-mini,2560,거여,
2823,남한산성입구(성남법원.검찰청),images/station_tiles/satellite/2823_남한산성입구(성남법원.검찰청).png,images/station_tiles/satellite/2823_남한산성입구(성남법원.검찰청).png,0.5795568043245648,0.5857988165680473,0.7399074652441086,0.19199262144355816,0.7403846153846154,0.4453042667318112,0.5857988165680473,diverse_living_area_hidden,2.0,low,3.0,visual,True,False,False,"The image shows a dense built-up neighborhood clustered on the western side of the station area, but most of the surrounding area is steep mountainous terrain and protected green space, which limits broad, continuous transit demand. The visible urban fabric suggests some local activity, yet there is no strong visual sign of a large, concealed trip generator that would clearly outstrip subway usage. Overall, the morphology points more to a localized residential/service area than to a major hidden-demand corridor.","Because this is image-only, the judgment may miss commuter, institutional, or visitor flows that are not visible from land cover alone.","{
  ""station_name"": ""남한산성입구(성남법원.검찰청)"",
  ""hidden_demand_score"": 2,
  ""hidden_demand_label"": ""low"",
  ""confidence"": 3,
  ""primary_evidence"": ""visual"",
  ""uses_visual_reasoning"": true,
  ""uses_mobility_subway_reasoning"": false,
  ""uses_temporal_reasoning"": false,
  ""explanation"": ""The image shows a dense built-up neighborhood clustered on the western side of the station area, but most of the surrounding area is steep mountainous terrain and protected green space, which limits broad, continuous transit demand. The visible urban fabric suggests some local activity, yet there is no strong visual sign of a large, concealed trip generator that would clearly outstrip subway usage. Overall, the morphology points more to a localized residential/service area than to a major hidden-demand corridor."",
  ""risk_note"": ""Because this is image-only, the judgment may miss commuter, institutional, or visitor flows that are not visible from land cover alone.""
}",image_only,gpt-5.4-mini,2823,남한산성입구(성남법원.검찰청),
